"vaca.date","vaca.MSL"
2007-10-01,1.134
2008-01-01,0.934
2008-02-01,0.848
2008-03-01,0.814
2008-04-01,0.973
2008-05-01,0.965
2008-06-01,0.935
2008-07-01,1.043
2008-08-01,1.075
2008-09-01,1.214
2008-10-01,1.146
2008-11-01,1.072
2008-12-01,0.895
2009-01-01,0.816
2009-02-01,0.816
2009-03-01,0.914
2009-04-01,0.882
2009-05-01,0.944
2009-06-01,1.003
2009-07-01,0.944
2009-08-01,1.052
2009-09-01,1.185
2009-10-01,1.127
2009-11-01,1.141
2009-12-01,1.048
2010-01-01,0.944
2010-02-01,0.96
2010-05-01,0.927
2010-06-01,0.986
2010-07-01,0.996
2010-08-01,1.038
2010-09-01,1.159
2010-10-01,1.103
2010-11-01,1.045
2010-12-01,0.956
2011-01-01,0.872
2011-02-01,0.822
2011-03-01,0.866
2011-04-01,0.887
2011-05-01,0.929
2011-06-01,0.994
2011-07-01,1.018
2011-08-01,1.087
2011-09-01,1.094
2011-10-01,1.101
2011-11-01,1.093
2011-12-01,1.006
2012-02-01,0.961
2012-03-01,0.952
2012-04-01,0.971
2012-05-01,1.014
2012-06-01,1.061
2012-07-01,1.014
2012-08-01,1.035
2012-09-01,1.016
2012-10-01,1.126
2012-11-01,1.175
2012-12-01,1.048
2013-01-01,0.968
2013-02-01,0.959
2013-03-01,0.995
2013-04-01,0.939
2013-05-01,1
2013-06-01,0.956
2013-07-01,1.025
2013-08-01,1.035
2013-09-01,1.108
2013-10-01,1.163
2013-11-01,1.138
2013-12-01,1.036
2014-01-01,1.004
2014-02-01,1.008
2014-03-01,0.975
2014-04-01,0.975
2014-05-01,1.014
2014-06-01,0.976
2014-07-01,1.026
2014-08-01,1.094
2014-09-01,1.127
2014-10-01,1.152
